,Peak Phytoplankton Biomass,Time-integrated Zooplankton Biomass,Minimum Dissolved Inorganic Nitrogen
sensitivity_coefficients,"{'a': -1.408379877859133, 'c': -0.2785603275412874, 'd': 0.10265319256938688, 'd1': -0.16611118711000217, 'd2': 0.03438653484761882, 'λ': -0.08059761684595146, 'γ': -0.23173171082022354, 'γ1': 0.11904004899059825, 'δ': -0.29159227169247554, 'ε': 0.051706276773874196, 'ε1': 0.023845756579677503, 'k': -0.052981372740723065, 'x': 0.02061648530386218}","{'a': 0.37957301290160295, 'c': -2.2007241154545643, 'd': -0.09007363608609101, 'd1': -0.000937125795592031, 'd2': 0.40287482566788246, 'λ': -1.357859871139588, 'γ': -0.012585411349498114, 'γ1': -0.12553922975256845, 'δ': -1.4020063036963288, 'ε': 0.5590677651747646, 'ε1': -0.010533411076350167, 'k': -0.12093192540912695, 'x': 0.24267767627540265}","{'a': -0.2526705029381446, 'c': 0.7564510908985385, 'd': 1.0068035007503058, 'd1': 0.46654938659709433, 'd2': -0.8669538757758034, 'λ': -0.3286573523627804, 'γ': 0.10812628445241086, 'γ1': 0.964025172268676, 'δ': 0.8867520767662131, 'ε': -0.9304038690727373, 'ε1': 0.20441546252238268, 'k': 1.6754741931399877, 'x': -0.7567182075932793}"
scenarios,"['Peak Phytoplankton Biomass is 8.35 (high concentration).', 'Peak Phytoplankton Biomass is 8.32 (low concentration).', 'Peak Phytoplankton Biomass is 4.18 (moderate concentration).']","['Time-integrated Zooplankton Biomass is 2037.76 (high concentration).', 'Time-integrated Zooplankton Biomass is 1938.86 (low concentration).', 'Time-integrated Zooplankton Biomass is 1018.88 (moderate concentration).']","['Minimum Dissolved Inorganic Nitrogen is 0.08 (high concentration).', 'Minimum Dissolved Inorganic Nitrogen is 0.09 (low concentration).', 'Minimum Dissolved Inorganic Nitrogen is 0.04 (moderate concentration).']"
